# {'lopower': 26.86, 'Vs': 10.90118408203125, 'Is': 11.865234375000089}
,Frequency,Power_0,Power_1
0,3.0,5.9e-08,5.7e-08
1,3.2,6.6e-08,1.13e-07
2,3.4000000000000004,1.08e-07,1.17e-07
3,3.6000000000000005,1.7e-07,1.03e-07
4,3.8000000000000007,2.52e-07,2.07e-07
5,4.000000000000001,2.73e-07,2.75e-07
6,4.200000000000001,3.61e-07,2.87e-07
7,4.400000000000001,5.33e-07,3.64e-07
8,4.600000000000001,7.45e-07,5.15e-07
9,4.800000000000002,9.44e-07,5.97e-07
10,5.000000000000002,1.065e-06,7.35e-07
11,5.200000000000002,9.59e-07,6.66e-07
12,5.400000000000002,7.34e-07,5.38e-07
13,5.600000000000002,5.69e-07,4.81e-07
14,5.8000000000000025,4.88e-07,4.44e-07
15,6.000000000000003,4.44e-07,4.53e-07
16,6.200000000000003,4.06e-07,3.76e-07
17,6.400000000000003,3.87e-07,4.22e-07
18,6.600000000000003,3.71e-07,3.83e-07
19,6.800000000000003,3.4e-07,3.7e-07
20,7.0000000000000036,3.53e-07,3.24e-07
21,7.200000000000004,3.11e-07,3.58e-07
22,7.400000000000004,2.27e-07,4.84e-07
23,7.600000000000004,2.93e-07,4.75e-07
24,7.800000000000004,2.72e-07,3.9e-07
25,8.000000000000004,2e-07,2.94e-07
26,8.200000000000005,1.51e-07,2.36e-07
27,8.400000000000006,1.22e-07,2.61e-07
28,8.600000000000005,1.3e-07,1.7e-07
29,8.800000000000004,1.26e-07,7.3e-08
30,9.000000000000005,7.7e-08,3.7e-08
