# {'lopower': 26.86, 'Vs': 10.90118408203125, 'Is': 11.865234375000089}
,Frequency,Power_0,Power_1
0,3.0,8e-08,7.9e-08
1,3.2,9.7e-08,1.73e-07
2,3.4000000000000004,1.6e-07,1.9e-07
3,3.6000000000000005,2.66e-07,1.8e-07
4,3.8000000000000007,4.3e-07,3.56e-07
5,4.000000000000001,5.06e-07,4.63e-07
6,4.200000000000001,6.66e-07,4.93e-07
7,4.400000000000001,9.27e-07,6.66e-07
8,4.600000000000001,1.238e-06,9.53e-07
9,4.800000000000002,1.571e-06,1.06e-06
10,5.000000000000002,1.814e-06,1.215e-06
11,5.200000000000002,1.672e-06,1.055e-06
12,5.400000000000002,1.281e-06,8.53e-07
13,5.600000000000002,9.61e-07,7.93e-07
14,5.8000000000000025,8.09e-07,7.66e-07
15,6.000000000000003,7.4e-07,7.81e-07
16,6.200000000000003,6.87e-07,6.18e-07
17,6.400000000000003,6.68e-07,6.64e-07
18,6.600000000000003,6.45e-07,6.05e-07
19,6.800000000000003,5.76e-07,6.06e-07
20,7.0000000000000036,5.9e-07,5.58e-07
21,7.200000000000004,5.17e-07,6.35e-07
22,7.400000000000004,3.97e-07,8.43e-07
23,7.600000000000004,5.32e-07,8.26e-07
24,7.800000000000004,4.87e-07,6.69e-07
25,8.000000000000004,3.45e-07,5.22e-07
26,8.200000000000005,2.53e-07,4.21e-07
27,8.400000000000006,2.03e-07,4.47e-07
28,8.600000000000005,2.13e-07,2.73e-07
29,8.800000000000004,2.04e-07,1.13e-07
30,9.000000000000005,1.13e-07,5.6e-08
